110CLL	1228CLL	NC11_35	NC15_63	NC15_67
AC004784.1	212.383	110.689	153.827	96.6314	77.777
AC004790.2	0.2918	0	0	0	0
AC004792.1	0	0	0	0	0
AC004801.1	0	0	0	0	0
AC004801.4	0	0	0	0	0
AC004805.2	0	0	0	0.27665	0
AC004805.3	0	0	0	0	0
AC004808.1	0	0	0	0	0
AC004808.2	0	0	0	0	0
AC004812.1	10.5874	6.18369	6.58565	15.0135	11.3619
AC004812.2	2.58613	0	1.93555	1.84135	1.27368
AC004816.1	0	0	0	0	0.71248
AC004816.2	0	0	0	0	0
AC004817.1	0.73892	2.99364	0.8733	0.08551	0
AC004817.2	1.63372	0	0	0.03018	0
AC004817.4	18.4601	10.8729	4.78233	6.1009	5.84624
AC004824.1	285.4337	245.6133	158.5654	125.9295	138.9863
AC004824.2	86.5902	94.8334	49.9868	75.4612	90.0105
AC004830.1	0	0.1482	0.54131	0	0.38552
AC004832.1	0	0	0	0	0
AC004832.2	0	0	0	0	0
AC004832.3	0	0	0	0	0
AC004832.5	0	0	0	0	0
AC004832.6	0	0	0	0	0
AC004835.1	0.36936	0.11362	0	0.76466	2.562
AC004836.1	0	0	0	0	0
AC004837.1	0	0	0	0	0
AC004840.1	112.34537	10.98138	10.2005	8.76363	7.97392
AC004852.1	0	0	0	0	0.09272
AC004852.6	0	0	0	0	0
AC004854.1	2.29061	0.36556	0.24301	0	1.0736
AC004854.2	17.517	10.8383	0.4047	1.14706	0.32696
AC004858.1	0	0	0	0	0
AC004865.1	14.78904	35.84861	17.6013	8.90454	11.47776
AC004866.1	0	0	0	0	0
AC004866.2	0	0	0	0	0
AC004870.1	0	0	0	0	0
AC004870.2	1.3521	0	0	0	0
AC004877.2	0	0	0	0	0.01952
AC004884.1	0	0	0	0	0
AC004884.2	0	0	0	0	0.732
AC004889.1	0	0	0.5964	0	0
AC004890.2	1.73556	3.96188	1.29504	0	0.8052
AC004893.2	0	0	0	0	0
AC004895.1	108.98609	98.19838	40.23544	36.67967	65.0554
AC004899.2	0	0	0.6603	0	0
AC004906.1	2.58716	0	0	0	0
AC004908.2	0	0	0	0	0
AC004908.3	0	0	0	0	0
AC004910.1	0	0	0	0	0
AC004911.1	0	0	0	0	0
AC004921.1	0.53983	0	0	0	0
AC004922.1	0	0.36062	1.18506	2.12418	0.8784
AC004923.2	0	0	0	0	0
AC004936.1	0.79731	0.33592	1.31287	1.38435	0.732
AC004941.1	54.11892	42.66926	42.83242	152.3737	76.2401
AC004943.1	0	0	0	0	0
AC004943.2	0	0	0	1.53064	0
AC004943.3	0	0	0	0	0
AC004945.1	0	0	0	0	0
AC004946.1	9.01164	6.70744	7.14402	7.36083	4.21681
AC004947.1	425.57596	313.25608	276.17333	132.82253	167.20362
AC004947.2	18.149	24.5465	9.01159	4.35436	18.8905
AC004948.1	0	0	0	0	0
AC004980.1	2.36244	0	46.13656	41.10118	33.1891
AC004980.3	0	0	6.40259	10.87461	6.99332
AC004980.4	0	0	2.90754	4.15851	3.39648
AC004980.5	1.47896	1.63514	52.30295	80.67062	55.45797
AC004986.1	0	0	0.64808	0	0
AC004987.2	3.12189	4.68295	11.5528	11.7443	10.6921
AC004987.3	3.22892	6.16484	7.34445	14.36847	9.028
AC004990.1	33.93987	19.59206	7.46433	14.81799	19.6664
AC005000.2	1.19624	0.41496	0.3195	0	0.20496
AC005002.1	18.90361	16.1563	14.65087	23.95503	26.30555
AC005002.2	4.85832	6.38169	9.72748	6.2077	7.94464
AC005005.2	0	0.20254	0.19596	0.36719	0
AC005005.4	3489.73	4438.4	6624.5	6980.04	7929.6
AC005006.1	0	0	0	0	0
AC005008.1	0	0.44954	0	0	0
AC005008.2	0	0	0	0	0
AC005011.1	0	0	0	0	0
AC005013.1	55.9375	24.5381	3.68315	1.9932	11.44391
AC005014.3	22.3563	21.535	8.35884	6.57015	9.63394
AC005019.1	4.0321	11.47424	2.05921	2.84819	1.83
AC005020.2	0	0	0	0	0
AC005021.1	0	0	0	0	0
AC005034.1	0	0.19266	0	0	0
AC005034.2	0	0	0	0	0
AC005034.3	0.71928	0	0	0	2.22528
AC005034.4	0.73897	3.0381	0	0	0
AC005034.5	0	0	0	0	0
AC005037.1	15.53812	9.52335	13.347	24.02938	14.23028
AC005040.1	0	0	0	0	0
AC005041.3	0	0.2717	0	0	0
AC005042.1	0	0	0	0	0
AC005042.2	0	0	0	0	0
AC005042.3	0	0	0	0	0
AC005046.1	1.10808	14.1022	26.4493	67.798	61.689
AC005052.1	0.36936	0	0.64828	0	0.74176
AC005064.1	8.69457	1.8772	0.68609	0.76456	0.74176
AC005066.1	0	0	0	0	0
AC005070.1	0	0	0	0	0
AC005070.2	0	0	0	0	0
AC005072.1	0	0	0	0	0
AC005077.3	0.52974	0.6422	11.68373	16.95144	26.43276
AC005082.1	0.5103	0.51376	0	0	0.70272
AC005083.1	0	0	0	1.0563	0.0732
AC005099.1	0	0	0.1065	0	0
AC005100.1	130.88003	94.0336	223.8725	257.3469	212.2023
AC005102.1	0	0	1.29504	0	0.70272
AC005104.2	0	0	1.94408	1.53064	0
AC005150.1	0	0.6422	0.60492	5.46647	0.7564
AC005154.1	0	0	0	0	0
AC005154.3	0	0	0	0	0
AC005154.4	0	0	0	0	0
AC005160.1	0	0.77064	0	0.38228	0.71248
AC005162.1	30.28387	64.76336	6.29194	14.10714	17.40336
AC005162.2	67.77897	49.51072	14.88554	29.01004	28.434
AC005162.3	543.24242	753.80665	158.60078	153.93896	258.86724
AC005176.1	0.4374	0	1.23159	0	0.60024
AC005180.2	6.97371	2.84544	0.52824	1.49499	0.84424
AC005181.1	0	0	1.65807	0.3521	0.52216
AC005185.1	0	0	0	0.37222	0
AC005186.1	0	0	0	0	0
AC005189.1	6.78401	2.94918	0.64752	1.1174	0.732
AC005191.1	0	0	0	0	0
AC005197.1	14.06466	6.01198	3.03888	5.73908	6.5636
AC005220.1	15.30974	8.63489	21.24123	10.40514	6.57824
AC005224.1	0.73878	0	0	0	0
AC005224.3	0.73872	0	0	0	0
AC005225.3	0	0	0	0	0
AC005225.4	0	0	0	0	0
AC005229.1	2.52377	0	1.95227	4.17329	2.074
AC005229.2	0	0	0	0	0.24888
AC005229.3	0.67068	0.93366	0.58799	1.53013	2.2692
AC005232.1	0.73905	2.77134	2.5912	6.3441	1.06384
AC005234.1	0	0	0	0	0
AC005237.2	0	0	1.56027	0.38228	0.73688
AC005244.1	0	0.51376	0	0	0
AC005244.2	8.394	5.25616	2.36161	1.5105	2.15208
AC005252.2	0	0	0	0	0
AC005252.3	0	0	0	0	0
AC005255.1	0	0	0	0	0
AC005256.1	3.31124	0	1.28803	2.67824	9.13536
AC005258.1	21.0094	17.04	0.82218	7.45635	10.4047
AC005261.1	0	0	0.22578	0	0
AC005261.3	0.73872	0	0	0.76532	0
AC005262.1	0.99641	0	0	0	0
AC005280.1	0	0	0	0	0
AC005288.1	40.33162	55.39386	7.60484	12.55005	31.27738
AC005291.1	14.97431	10.9609	3.79801	4.19859	3.47006
AC005291.2	1.87678	2.1242	0	0	0
AC005297.1	137.883	66.1608	208.872	84.3421	117.981
AC005297.2	0	0	0	0	0
AC005297.3	0	0.3458	0	0	0.33672
AC005300.1	0	0	0	0	0
AC005303.1	0	0	0	0	0
AC005304.2	12.6496	16.2872	0.43452	11.5332	9.08656
AC005306.1	0	0	0	0	0
AC005323.1	78.20628	75.50697	44.97092	75.53394	81.00794
AC005323.2	77.23893	97.67904	52.95875	59.84246	54.31384
AC005324.4	1246.81811	735.99785	1545.78331	1790.78665	2328.58589
AC005324.5	159.46577	115.62281	244.53615	297.6601	183.62774
AC005326.1	1.10391	0	1.98218	1.40464	2.98168
AC005330.1	19.34105	6.71346	5.87116	16.0444	19.84236
AC005332.2	0	1.43754	0	0	0
AC005332.3	0	0	0	0	0
AC005332.4	0	0	0	0	0
AC005332.5	0	0	0	0	0
AC005332.6	0.73872	0	0	0	0
AC005332.7	0	0	0	0	0
AC005336.3	94.2951	63.9906	48.0254	116.966	139.581
AC005342.1	0.20412	0.24206	0	0	0
AC005342.2	0	0	0	0	0.32696
AC005342.3	0	0	0	0	0.32696
AC005342.4	0.20412	0.24206	0	0	0
AC005351.1	7.50897	12.2499	23.0569	14.7505	24.3134
AC005355.1	0	0	0	0	0
AC005357.2	39.99551	56.29318	8.31624	9.93784	13.54299
AC005377.1	0	0	0	0	0
AC005387.1	0	0	0	0	0
AC005387.2	0	0	0	0	0
AC005391.1	21.44731	5.39412	7.46865	7.42585	10.79513
AC005392.1	0	0.11856	0.49428	0.71941	0
AC005480.2	0	0	0	0	0
AC005481.1	1.47744	0	0	0	2.22528
AC005486.1	5.67528	2.56849	10.0385	3.51394	2.08396
AC005487.1	2.31999	3.02822	0.95487	2.00824	1.62504
AC005495.1	0	0	0	0	0
AC005498.1	2.27025	0	0.64752	0	0.74176
AC005514.1	0	0	0	0	0
AC005515.1	1.1866	0	4.2756	5.12025	1.11264
AC005518.1	0	0	0	0	0.55632
AC005520.1	0	0	0	0	0
AC005520.2	0	0	0	0	0
AC005520.3	0	0	0	0	0
AC005521.1	0.36936	0	0.64787	2.67824	0.74176
AC005531.1	0	0	0	0	0
AC005532.1	0.21384	0	3.89247	0.76456	1.09312
AC005532.2	0	0.37544	0	0	0
AC005534.2	0	1.50176	0	0	0.40016
AC005546.1	0	0	0	0	0
AC005549.1	0	0	0	0	0
AC005550.2	80.7244	60.7038	169.22152	148.99178	56.55422
AC005586.2	430.2948	434.41964	208.5934	328.78006	374.2026
AC005592.1	0	0	0	0	0
AC005593.1	0	0	0	0	0
AC005606.1	0	0	0	0.38228	0
AC005614.1	381.106	231.756	85.2115	38.4428	81.8868
AC005614.3	0.5544	0.75088	0.3538	0	0.56608
AC005616.1	440.69325	356.00557	789.53592	415.72033	345.17124
AC005618.1	0	0	0	0	0
AC005622.1	279.38492	206.47154	188.63168	195.55802	212.38894
AC005632.2	0	0.67678	0	0.13078	0.40504
AC005632.3	0	0	0	0	0
AC005670.2	0.41796	0	0	0	0
AC005674.1	0.2187	0.5187	0	0.21629	0
AC005691.1	0	0	0	0	0
AC005695.2	0.90944	0.494	1.65816	4.65696	5.99784
AC005696.1	0	0	0	0	0
AC005696.3	0	0	0	0	0
AC005697.2	1119.6297	1381.4487	312.16321	99.38333	123.54724
AC005699.1	132.4799	61.3994	66.98203	55.82013	87.75046
AC005702.1	0	0	0	0	0
AC005702.3	0	0	0	0	0
AC005702.4	0	0	0	0	0
AC005703.3	0	0	0.18766	0.60369	0
AC005703.5	0	0	0	0.68476	0
AC005703.6	0.86037	0.75088	1.29656	5.59201	4.45056
AC005722.1	151.548	119.249	44.4031	73.4415	98.4774
AC005722.2	56.1759	88.2123	13.6911	19.2129	33.5842
AC005722.3	14.86221	30.7963	6.46209	4.89298	8.94553
AC005725.1	79.2525	53.9046	53.3147	46.3967	56.7849
AC005726.2	29.31954	14.0049	11.15586	14.86664	12.99056
AC005726.4	7.41674	5.71469	3.44029	8.71506	6.9203
AC005726.5	10.47026	6.50104	3.87935	6.46816	13.16136
AC005730.1	0	0	0	0	0
AC005736.2	0	0	0	0	0
AC005740.4	0	0	0	0	0
AC005741.1	0	0	0	0	0
AC005746.1	2.91297	0.51376	1.55177	0	2.06912
AC005758.1	0.33534	0.71136	0	0.75988	0
AC005759.1	0	0	0	0	0
AC005772.1	0	0	0	0	0
AC005776.1	0	0	0	0	0
AC005779.1	7.21735	10.40244	2.11854	5.35114	2.30336
AC005779.2	7.32905	19.26766	1.30432	3.05115	1.952
AC005785.1	0	0.75088	1.29656	1.69511	2.96704
AC005786.2	0.06318	0	0	0.22635	0
AC005786.3	0.74358	0	0	0	0
AC005789.1	0	1.29922	0	0	0.27328
AC005790.1	0	0	0	0	0
AC005798.1	0	0	0	0	0
AC005808.1	0	0	0	0	0
AC005821.1	20.08107	13.53066	4.7274	1.14684	1.31272
AC005823.1	0	0	0.1704	1.661	0.19032
AC005823.2	0	0.43966	0	0	0
AC005828.5	10.77733	14.15596	4.88071	8.69956	3.1232
AC005828.6	0.2576	0.22724	0	1.1476	0.54168
AC005829.1	6.23512	13.13964	14.75316	20.36955	21.27696
AC005832.1	0	0	0	0	0
AC005832.4	0	0	0	0	0
AC005833.1	0	0	0	0	0
AC005837.1	0.73905	0.37544	0	1.52431	0
AC005837.2	0	0	0	0	0
AC005837.3	0	0	0	0	0
AC005838.1	1.9502	4.51493	0	0.06038	2.11792
AC005840.2	3.15055	7.12842	9.5059	16.8331	9.40864
AC005840.3	0.73872	0	0	0.60369	0.63928
AC005840.4	0	0.26182	0	0	0
AC005842.1	12.19169	20.17306	13.49869	5.90033	8.60345
AC005858.1	0	0	0	0	0
AC005865.1	63.66132	0	0	0	0.74176
AC005871.2	20.75627	48.7302	12.17874	14.45427	14.83536
AC005899.1	0	0	0	0	0
AC005899.3	74.1841	50.8443	17.80489	17.52125	25.69097
AC005899.4	222.98557	91.12924	68.5926	93.61047	116.55034
AC005899.5	0	0.75088	0.05964	0.8456	0
AC005899.6	0	0	0	0.38228	0
AC005899.7	0	0	0.25986	0	0.63928
AC005906.2	0	0	0	0	0
AC005906.3	0	0	0	0	0
AC005908.1	0	0.55328	0	0	0
AC005909.1	0	0	0	0	0
AC005911.1	0	0	0	0	0
AC005912.2	10.8921	0	0	0	0
AC005915.1	0	0	0	0	0
AC005920.2	0	0	0	0	0
AC005920.3	68.42722	50.00455	22.35814	27.16022	36.02904
AC005921.2	26.11116	28.95407	16.87593	24.252	27.01296
AC005921.3	48.8128	65.0961	12.1519	29.5103	53.3493
AC005921.4	66.895	152.5577	32.39761	50.23918	72.0384
AC005943.2	0.67136	1.3585	4.88515	1.28345	6.40797
AC005944.1	0	0	0	0	0
AC005951.1	0	0	0	0	0
AC005954.2	0	0.75088	3.47486	1.1476	0
AC005993.1	0	0	0	0	0
AC005996.1	130.753	59.0088	90.4425	96.3904	90.5027
AC005999.1	5.90879	1.62526	6.3598	3.9261	3.40624
AC005999.2	69.55842	111.48781	68.55114	107.78919	104.03162
AC006001.2	0	0	0	0.21126	0
AC006006.1	0	0	0	0	0
AC006013.1	0	0	0	0	0
