symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
NPIPA8	0	0	0	0	0	0	0	1	0	0
NPIPB11	259	317	175	174	509	461	758	713	373	373
NPIPB15	5	6	4	2	14	17	23	23	6	6
NPIPB1P	1	1	0	0	1	0	0	0	0	0
NPIPB3	1097	1270	818	735	1495	1592	1955	1877	1760	1760
NPIPB4	196	231	136	107	257	302	293	308	290	290
NPIPB5	1220	1502	1141	956	2090	2216	2188	2320	2047	2047
NPIPB6	251	270	10	8	169	143	59	52	10	10
NPIPB7	21	19	6	6	41	40	23	26	3	3
NPIPB8	1	0	0	0	2	3	4	0	0	0
NPIPB9	37	30	4	5	36	24	5	5	1	1
NPIPP1	790	892	1462	1349	2283	2306	3792	4124	2710	2710
NPL	313	378	331	351	908	828	580	684	783	783
NPLOC4	27623	30600	27377	28062	24517	24763	20313	21554	27327	27327
NPM1	91418	107229	103284	100879	212186	213065	202264	221774	343275	343275
NPM1P10	0	0	0	0	0	0	0	0	0	0
NPM1P11	1	0	0	0	0	0	0	0	0	0
NPM1P12	11	16	26	19	26	38	52	42	64	64
NPM1P13	0	0	0	0	0	0	2	0	0	0
NPM1P14	6	5	0	0	0	0	2	0	3	3
NPM1P17	3	5	0	3	3	2	1	5	7	7
NPM1P18	22	29	24	27	39	50	48	47	72	72
NPM1P19	14	19	14	20	34	36	52	45	64	64
NPM1P2	0	1	1	2	0	0	0	0	0	0
NPM1P21	626	746	422	392	533	509	751	920	1327	1327
NPM1P22	0	1	0	2	1	3	3	0	2	2
NPM1P23	0	0	0	0	0	0	0	0	0	0
NPM1P24	4163	4912	4850	4650	10069	10084	9587	10210	15085	15085
NPM1P25	1882	2267	2104	2124	4411	4381	3844	4249	6363	6363
NPM1P26	363	376	202	177	255	218	310	297	457	457
NPM1P27	51907	62376	60055	59490	131184	130247	119883	131239	188137	188137
NPM1P28	0	0	0	0	1	1	0	1	0	0
NPM1P29	51	39	13	8	22	36	14	12	9	9
NPM1P30	3	1	0	0	4	0	0	0	0	0
NPM1P31	0	0	0	0	0	0	0	0	1	1
NPM1P32	867	1097	603	565	706	774	1114	1294	2118	2118
NPM1P33	17	17	16	16	22	30	22	25	36	36
NPM1P34	4	8	8	3	2	7	7	9	19	19
NPM1P35	4	3	4	2	5	12	13	12	11	11
NPM1P36	0	0	0	0	0	0	0	0	0	0
NPM1P37	20	12	13	14	30	29	18	25	21	21
NPM1P38	15	16	18	30	27	27	31	29	61	61
NPM1P39	19102	23218	20801	20914	43860	44271	39265	43886	64775	64775
NPM1P4	0	0	0	0	0	0	1	0	0	0
NPM1P40	6	3	3	8	7	10	6	12	28	28
NPM1P41	0	0	0	0	0	0	0	0	0	0
NPM1P42	1	0	1	2	0	0	0	0	0	0
NPM1P43	4	0	0	1	4	2	4	2	4	4
NPM1P45	0	0	2	6	0	0	0	0	0	0
NPM1P46	3017	3589	3404	3506	7095	7460	7120	7731	11085	11085
NPM1P47	0	0	0	0	0	0	1	0	0	0
NPM1P48	1	1	1	0	4	4	2	3	3	3
NPM1P49	0	0	2	0	3	9	4	0	0	0
NPM1P5	7	10	6	18	23	23	13	26	36	36
NPM1P50	7	9	1	0	0	8	3	2	3	3
NPM1P51	119	145	79	85	111	119	202	185	245	245
NPM1P52	0	1	0	1	1	6	2	6	0	0
NPM1P6	2824	3333	3166	3211	6956	6801	5965	6736	10114	10114
NPM1P8	5	4	2	8	11	14	11	13	20	20
NPM1P9	57	52	23	19	32	52	79	116	135	135
NPM2	18	45	238	202	15	6	133	128	64	64
NPM3	2175	2893	3187	3101	10510	11558	10590	12087	20567	20567
NPNT	1890	2192	393	324	134	168	463	596	49	49
NPPA	61	78	56	45	4	7	29	50	90	90
NPPA-AS1	149	184	260	266	33	40	90	97	254	254
NPPB	7068	6924	4	8	702	658	161	227	13977	13977
NPPC	148	125	4	0	33	59	191	258	36	36
NPR1	75	100	19	29	451	452	3654	3950	903	903
NPR2	864	1215	4086	3897	1878	1871	1413	1330	1273	1273
NPR3	1350	1901	18552	18217	42	29	14	25	46	46
NPRL2	1618	2018	1485	1298	3293	3012	1854	1885	1427	1427
NPRL3	6065	7186	9464	9273	7951	7824	5332	5792	5616	5616
NPS	0	0	0	0	0	0	0	3	0	0
NPSR1	4	2	0	0	0	2	2	0	8	8
NPSR1-AS1	8	4	0	0	21	18	16	11	9	9
NPTN	23839	26436	44381	47525	14160	14523	29317	37742	21190	21190
NPTX1	59	78	1487	1663	432	440	3058	2866	121	121
NPTX2	76	73	19	16	5066	4977	7454	9811	1701	1701
NPTXR	452	472	2059	2039	4550	4465	4435	5664	731	731
NPVF	0	0	0	0	0	0	0	4	0	0
NPW	106	114	86	81	276	256	1243	1710	395	395
NPY	65	89	46261	49601	15	5	138	204	710	710
NPY1R	90	133	7811	8399	1104	1161	5335	6458	1240	1240
NPY2R	2	4	0	2	7833	7752	202	248	211	211
NPY4R	161	181	10	9	79	47	39	17	44	44
NPY5R	0	0	469	575	551	521	557	625	169	169
NPY6R	0	0	0	0	0	2	0	0	4	4
NQO1	8429	8835	54141	58026	1882	1740	7013	8302	12813	12813
NQO2	2153	2495	2642	2734	4130	3885	8619	10294	13222	13222
NR0B1	117	139	81	82	41	25	54	39	750	750
NR0B2	6	5	2	1	0	6	15	0	10	10
NR1D1	600	790	2404	2022	2034	1926	929	973	935	935
NR1D2	8213	10418	10593	11731	21156	21564	5161	6051	6162	6162
NR1H2	7136	7633	10476	10701	5455	5342	5464	6144	8029	8029
NR1H3	2179	2806	4057	3900	2543	2525	1908	2090	1948	1948
NR1H4	5	0	0	0	6	0	2	0	4	4
NR1H5P	0	0	0	0	0	0	0	0	0	0
NR1I2	16	15	4	0	106	119	58	51	149	149
NR1I3	135	142	51	55	206	274	116	173	185	185
NR2C1	8675	10319	5690	5911	24022	24479	8751	9514	7883	7883
NR2C2	3255	4066	2944	2723	4061	4284	3631	3578	3372	3372
NR2C2AP	1386	1465	524	513	951	1039	1665	1853	1922	1922
NR2E1	0	2	2	2	248	221	0	0	0	0
NR2E3	31	48	45	24	36	20	149	151	40	40
NR2F1	20	20	122349	123752	46322	48255	8	0	6	6
NR2F1-AS1	19	7	7597	7705	2956	3164	341	322	91	91
NR2F2	56620	60524	89808	89826	39181	40586	21	22	30	30
NR2F2-AS1	625	783	487	419	475	513	0	2	4	4
NR2F6	72850	79313	18947	19063	15015	15382	25844	29233	26522	26522
NR3C1	972	1130	14131	14745	270	232	2383	2907	8078	8078
NR3C2	102	155	74	83	381	356	426	498	342	342
NR4A1	11440	12754	22615	17827	10165	9925	3203	3419	2130	2130
NR4A2	525	587	3410	2963	206	279	766	857	690	690
NR4A3	861	992	285	280	1162	1185	83	110	48	48
NR5A1	160	167	2	0	238	210	105	91	38	38
NR5A2	6	5	1765	1612	79	64	5393	6236	5908	5908
NR6A1	16223	19477	702	778	142008	148264	82089	98664	71045	71045
NRADDP	29	17	4	10	23	32	58	34	25	25
NRAP	7	4	0	2	2	7	5	0	6	6
NRARP	739	804	482	505	38414	38387	9271	10749	3090	3090
NRAS	43481	52099	42378	46227	60466	63708	29471	33046	54526	54526
NRBF2	13639	15956	12868	13026	7853	8011	7715	8699	11536	11536
NRBF2P1	0	0	0	1	0	1	9	12	14	14
NRBF2P2	26	39	15	18	19	5	16	11	8	8
NRBF2P3	319	372	273	318	199	178	206	230	270	270
NRBF2P4	1196	1406	961	909	591	593	621	698	880	880
NRBF2P5	58	61	13	18	56	51	101	77	17	17
NRBP1	12836	15003	15841	15795	13393	13800	9989	11528	18692	18692
NRBP2	5682	6610	15794	15171	9244	9066	3768	4058	1942	1942
NRCAM	167	157	55	35	23311	24090	1634	1784	1035	1035
NRD1	17221	20041	18026	18189	21483	21814	15443	17373	22907	22907
NRDE2	2229	2669	2169	2065	3446	3581	1699	1762	2811	2811
NREP	33107	41736	76777	78344	120775	124369	53200	60720	65459	65459
NREP-AS1	0	0	4	0	0	0	0	0	0	0
NRF1	2166	2537	1641	1648	6019	6389	2256	2526	5465	5465
NRG1	616	539	15258	14683	5530	5597	269	394	453	453
NRG1-IT1	0	0	0	1	0	0	0	0	0	0
NRG1-IT2	0	0	0	0	0	0	0	0	0	0
NRG1-IT3	0	0	0	1	0	0	0	0	0	0
NRG2	1	9	72	121	71	44	82	63	44	44
NRG3	12	8	64	40	1180	1142	892	1026	1721	1721
NRG3-AS1	0	0	0	0	0	0	0	0	0	0
NRG4	489	517	404	380	932	1097	1563	1327	530	530
NRGN	96	111	165	118	2257	2376	166	138	129	129
NRIP1	19361	24654	10054	10175	48982	49699	3732	4268	7564	7564
NRIP2	233	243	323	322	760	800	525	538	518	518
NRIP3	348	379	5715	5880	3904	4193	2475	2870	1623	1623
NRK	12029	13056	13198	12611	33	14	4274	3860	1116	1116
NRL	91	149	164	128	241	227	171	220	257	257
NRM	8375	10374	6392	6611	20514	20167	13379	16069	9473	9473
NRN1	15	23	90	115	919	964	79	84	107	107
NRN1L	3	0	1	2	0	6	4	5	0	0
NRON	0	2	0	0	0	0	0	0	0	0
NRP1	33180	36684	18307	18601	1478	1500	776	1001	988	988
NRP2	17988	19586	36842	35737	3603	3642	14542	15255	8616	8616
NRROS	2	8	152	159	931	839	3305	3577	857	857
NRSN1	84	83	0	0	227	188	82	132	99	99
NRSN2	8673	10152	24662	24349	11570	11168	5760	7239	4307	4307
NRTN	134	207	420	477	1979	1879	567	716	990	990
NRXN1	118	84	6	8	6911	7066	7268	6677	1201	1201
NRXN2	862	1021	22	19	10926	11309	2825	3322	219	219
NRXN3	3279	3882	2143	2023	2587	2631	1684	1815	890	890
NSA2	7972	9533	14398	14846	14457	14368	9495	10228	16772	16772
NSD1	23633	29316	20347	19617	34368	34723	35492	37766	55544	55544
NSDHL	6927	8270	10332	10292	5657	5912	5809	7408	8957	8957
NSF	10264	10703	11884	12576	8809	8509	3116	3749	7731	7731
NSFL1C	11425	12723	13159	14204	19681	19717	11924	12889	16811	16811
NSFP1	0	0	0	0	0	0	0	0	0	0
NSG1	9596	10362	39732	41191	11983	11900	9035	12523	6933	6933
NSG2	83	82	0	6	61	74	98	63	45	45
NSL1	4202	5188	5302	5740	10961	11515	7679	9055	11700	11700
NSMAF	3088	3685	5660	5577	3388	3528	1927	2065	3709	3709
NSMCE1	1651	2048	5309	5528	5695	5639	2645	3143	2849	2849
NSMCE2	2836	3153	3553	3722	5201	4944	1795	2200	2389	2389
NSMCE4A	2620	2948	2143	2233	13798	14070	6388	6251	7210	7210
NSMF	4939	5812	10294	10407	18120	17614	10144	11199	9236	9236
NSRP1	6280	7649	14843	14455	10616	10898	10654	11256	15404	15404
NSRP1P1	1274	1524	3824	3766	2571	2786	2746	3000	3818	3818
NSUN2	10065	11949	8370	8575	8407	8534	13820	15937	33177	33177
NSUN3	993	1142	1501	1778	3035	3031	1282	1378	1835	1835
NSUN4	4509	5334	5924	5840	6614	6809	5350	5731	7513	7513
NSUN5	2976	3348	2231	2253	4313	4340	5559	5615	7558	7558
NSUN5P1	2177	2582	2168	2091	5756	5972	6523	6173	2444	2444
NSUN5P2	49	39	30	50	102	103	148	131	28	28
NSUN6	656	784	441	482	2169	2246	1280	1276	1324	1324
NSUN7	1658	2289	734	780	13052	12966	4595	4563	4238	4238
NT5C	2991	3367	4099	4243	5401	5459	4253	4290	3936	3936
NT5C1A	1	0	23	40	6	7	0	0	0	0
NT5C1B	8	8	12	23	14	2	5	10	10	10
NT5C1B-RDH14	0	0	0	0	0	0	0	0	0	0
NT5C2	3478	4046	3021	3044	3964	4144	2826	2750	3583	3583
NT5C3A	2942	3216	4065	4278	7947	8696	6585	8590	7417	7417
NT5C3AP1	861	993	1177	1239	2872	2626	1901	2584	2180	2180
NT5C3B	4502	5585	6345	6518	14379	14494	5565	6300	7638	7638
NT5CP1	13	12	17	12	1	1	5	6	8	8
NT5CP2	4	22	2	7	10	6	3	3	0	0
NT5DC1	3113	3876	5335	5707	10576	10388	8657	9091	7911	7911
NT5DC2	22392	26592	11941	11972	27203	25511	21551	22456	17742	17742
NT5DC3	5045	5729	2959	3031	2637	2686	3697	3949	3685	3685
NT5DC4	7	11	1	3	15	13	9	2	2	2
NT5E	146	116	121153	125092	4	3	993	1148	226	226
NT5M	190	208	97	90	1779	1729	1141	1191	496	496
NTAN1	5633	6950	13726	14403	6503	6938	4698	5362	5594	5594
NTAN1P2	1632	2058	4331	4064	2044	1892	1465	1622	1586	1586
NTAN1P3	3	0	2	0	0	0	0	0	0	0
NTF3	465	651	1762	1779	1591	1509	76	136	111	111
NTF4	1634	1864	39	16	117	127	319	386	69	69
NTF6A	8	7	0	0	0	0	0	0	1	1
NTF6B	0	0	0	0	0	2	0	0	0	0
NTF6G	0	0	0	0	0	0	0	0	0	0
NTHL1	756	835	1510	1564	3348	2993	3094	3774	3292	3292
NTM	58	48	16307	16446	2329	2297	7849	9170	2006	2006
NTM-IT	0	0	0	0	0	0	0	0	0	0
NTMT1	4604	5585	6049	6238	4950	5037	4769	5412	6694	6694
NTN1	1047	1038	166	186	2541	2514	1800	2095	8331	8331
NTN3	19	8	46	59	368	378	33	49	2	2
NTN4	573	540	2328	2494	4158	4080	394	490	390	390
NTN5	64	64	116	116	474	541	68	75	33	33
NTNG1	212	187	3	1	63	43	788	945	2193	2193
NTNG2	463	614	654	636	964	1041	220	249	36	36
NTPCR	4576	5755	5950	6165	15156	15832	8727	9741	9656	9656
NTRK1	97	133	0	2	26	41	21	15	10	10
NTRK2	3613	5271	187	179	190	223	81	53	95	95
NTRK3	352	449	136	113	3559	3756	1004	1166	158	158
NTRK3-AS1	0	0	0	0	0	0	4	7	0	0
NTS	287	342	4	0	153	123	28746	42218	132642	132642
NTSR1	21	53	10	43	192	161	439	505	498	498
NTSR2	3	0	0	0	0	0	40	42	18	18
NUAK1	35500	40126	10603	9965	19112	19424	7210	8092	29326	29326
NUAK2	10904	11846	1728	1839	37050	38596	2477	2739	7013	7013
NUB1	6238	7624	9523	9470	14407	14684	6255	7179	8310	8310
NUBP1	494	614	815	791	1514	1469	734	853	1138	1138
NUBP2	6724	7952	6102	6332	10249	10114	10162	10631	10533	10533
NUBPL	2115	2580	4491	4528	4795	5254	2333	2440	3268	3268
NUCB1	27079	31916	54638	53876	19402	19475	31356	37342	16239	16239
NUCB1-AS1	5	6	3	4	9	1	3	5	1	1
NUCB2	31539	34128	22827	23617	13908	13763	4238	5972	2932	2932
NUCKS1	102028	126245	96944	100173	390141	415461	187367	220254	308103	308103
NUDC	8584	10677	11441	11362	11513	11402	12147	15424	23708	23708
NUDCD1	3667	4665	4567	5238	8830	9278	9822	11080	15593	15593
NUDCD2	5615	6831	8853	9000	26297	26604	10473	12050	12124	12124
NUDCD3	12578	14475	17342	17790	20928	21285	12189	13933	18757	18757
NUDT1	2110	2727	1507	1527	5292	5708	4446	5305	6000	6000
NUDT10	309	317	55	64	6365	6434	3621	4317	10872	10872
NUDT11	2481	2777	4639	5106	19147	19182	7173	8422	11625	11625
NUDT12	3338	4189	3088	3550	10107	10502	5012	4744	3578	3578
NUDT13	481	596	595	654	499	526	1030	936	688	688
NUDT14	833	1122	2150	2305	3138	3090	1978	2067	1173	1173
NUDT15	5467	6270	3617	3881	13291	13938	16039	20022	63980	63980
NUDT16	4266	5595	9304	8907	17597	17259	8485	9312	8706	8706
NUDT16L1	3644	4346	3165	3509	5766	5974	3631	3911	6214	6214
NUDT16P	188	239	87	88	3585	3787	2384	2769	2440	2440
NUDT17	217	222	436	450	490	500	201	220	371	371
NUDT18	717	874	1599	1554	255	269	184	154	99	99
NUDT19	1353	1604	3788	3988	2699	2833	858	914	1870	1870
NUDT19P3	3	4	0	2	5	6	9	6	2	2
NUDT19P4	0	0	0	0	0	0	0	2	4	4
NUDT19P5	8	13	0	4	0	0	0	0	0	0
NUDT2	1087	1411	3215	3351	2615	2582	1165	1339	1384	1384
NUDT21	24601	29295	23246	24203	68855	71389	37731	43573	77423	77423
NUDT22	1577	1837	3029	3035	1790	1639	2326	2666	1791	1791
NUDT3	3161	3981	9587	9367	16272	16961	7075	8103	10911	10911
NUDT4	6033	7277	11158	11461	9670	10276	5371	6121	8016	8016
NUDT4P1	2113	2514	3004	3097	2244	2424	1464	1725	2328	2328
NUDT5	7823	8804	11044	11716	19726	20204	14018	15377	15822	15822
NUDT6	245	210	557	553	1542	1487	941	757	347	347
NUDT7	162	186	442	456	965	916	350	406	331	331
NUDT8	865	983	831	934	1114	996	610	637	980	980
NUDT9	3556	4113	7840	8041	3229	3338	5409	7573	5686	5686
NUF2	3386	3964	546	490	14477	14402	3905	3805	5298	5298
NUFIP1	2366	2720	2325	2597	5004	5275	4081	4733	8167	8167
NUFIP1P	1549	1643	1488	1670	2844	3053	2825	3198	5599	5599
NUFIP2	74691	84561	40025	39670	60870	62545	60600	62465	64183	64183
NUGGC	4	4	17	24	2	0	0	0	1	1
NUMA1	17642	20238	13501	12311	22513	22077	10941	10936	10682	10682
NUMB	21506	25600	31314	31588	19060	19176	11220	12318	14506	14506
NUMBL	6456	7132	13057	13133	7060	7078	3352	3768	4594	4594
NUP107	6593	8015	2542	2672	12058	12145	8777	9058	14859	14859
NUP133	9794	11504	6262	6418	13152	13784	9673	10625	13739	13739
NUP153	26624	30191	13491	13869	26039	26394	20569	22736	41361	41361
NUP155	10460	12126	5000	5227	17889	17999	29929	37088	27376	27376
NUP160	10471	11802	5806	6049	14756	14610	14290	14615	25934	25934
NUP188	6979	8118	6887	6768	12237	11923	12819	13672	19275	19275
NUP205	15188	17583	5542	5528	24750	24741	31572	32346	30849	30849
NUP210	3607	4014	32	32	30232	31112	50570	44090	8865	8865
NUP210L	33	27	12	8	115	150	100	98	60	60
NUP210P1	0	2	0	0	1	0	0	0	1	1
NUP210P2	0	0	0	0	1	1	3	3	0	0
NUP210P3	6	3	2	0	44	19	8	4	1	1
NUP214	13630	15914	7489	6832	11130	11301	11066	10958	11812	11812
NUP35	1794	1977	1249	1263	4221	4374	5000	5710	10562	10562
NUP37	2759	3277	1980	2003	5146	5192	3296	3598	5404	5404
NUP43	10995	13202	6476	6678	17020	17637	13347	14579	17015	17015
NUP50	36854	42177	19339	19930	27500	28331	24364	26589	45007	45007
NUP54	6129	6896	5056	5586	14206	13985	10875	11126	18645	18645
NUP62	20392	23243	13990	13778	38256	39621	24082	27459	34358	34358
NUP62CL	315	419	43	17	1709	1794	700	669	583	583
NUP85	5228	5860	2984	3125	6345	6262	6569	6773	8108	8108
NUP88	6564	7205	4743	4866	8497	8702	8045	9240	16454	16454
NUP93	8157	9279	4757	4571	13565	13383	11983	12180	16880	16880
NUP98	20443	23886	14690	14044	20653	20545	22188	23958	26791	26791
NUPL1	21903	25509	10805	11456	27323	28974	14213	15579	26653	26653
NUPL1P1	0	0	0	0	0	0	6	0	0	0
NUPL2	3266	3524	3465	3749	6889	7083	3694	3364	6185	6185
NUPR1	6580	6971	5085	5149	3	9	22	1	46	46
NUPR1L	0	0	0	0	0	0	0	0	0	0
NUS1	35157	38150	15218	15938	14949	15420	23736	26592	23088	23088
NUS1P1	17562	19132	5593	5855	4745	5074	8391	9469	8214	8214
NUS1P2	5	7	0	0	125	136	45	52	181	181
NUS1P3	25	31	9	6	4	8	8	9	13	13
NUS1P4	3	1	1	1	1	0	1	1	0	0
NUSAP1	12576	15868	3110	3263	61224	62865	19017	21633	27160	27160
NUTF2	33921	40708	26538	27067	39846	41038	29570	33263	41953	41953
NUTF2P2	0	0	0	0	0	0	0	0	0	0
NUTM1	20	16	0	0	33	48	349	357	414	414
NUTM2A	73	66	38	32	80	75	50	31	29	29
NUTM2A-AS1	2135	2397	2828	2801	2937	3011	1533	1892	3149	3149
NUTM2B	12	11	2	4	7	7	8	6	16	16
NUTM2D	164	164	77	80	243	219	61	38	87	87
NUTM2E	2	3	1	0	4	6	0	0	1	1
NUTM2F	17	9	7	6	25	28	11	6	14	14
NUTM2G	64	77	44	23	40	53	143	147	66	66
NUTM2HP	3	4	0	1	67	52	11	9	0	0
NVL	1538	1830	1642	1548	2684	2753	2136	2334	3530	3530
NWD1	28	31	1	11	26	29	9	4	12	12
NXF1	14194	15748	11848	10796	7887	7656	6981	6940	10603	10603
NXF2	0	0	0	0	30	39	2	1	0	0
NXF2B	0	0	0	0	116	135	14	4	3	3
NXF3	15	12	2	0	1	2	0	1	9	9
NXF4	2	0	0	0	52	43	4	5	9	9
NXF5	2	0	0	0	0	0	0	0	0	0
NXN	15081	18377	27345	27612	25376	25328	15069	17901	44933	44933
NXNL1	0	0	0	0	6	10	0	10	0	0
NXNL2	262	293	91	110	76	66	186	178	45	45
NXPE1	5	6	0	2	1	0	4	0	1	1
NXPE2	80	74	60	53	27	8	40	28	29	29
NXPE2P1	0	0	0	0	0	0	0	0	0	0
NXPE3	3296	3751	22868	24131	11199	11350	8491	9777	8219	8219
NXPE4	4	2	0	0	0	1	0	2	0	0
NXPH1	2	0	0	0	3	2	175	240	12	12
NXPH2	2019	2454	6	16	1792	1629	251	342	165	165
NXPH3	289	399	18	39	1600	1688	837	1081	163	163
NXPH4	214	263	582	532	93	94	769	845	136	136
NXT1	2938	3414	3186	3409	6462	6665	3321	3660	5701	5701
NXT1P1	4	3	3	3	5	2	1	6	2	2
NXT2	2718	3043	1845	2055	7509	7567	2882	3052	6313	6313
NYAP1	410	462	323	334	2871	2916	1106	1208	792	792
NYAP2	8	10	0	1	0	0	0	0	5	5
NYNRIN	34509	40381	20515	19397	26468	26479	10450	11013	5967	5967
NYX	14	2	0	1	57	43	71	46	4	4
OACYLP	1	4	10	14	7	5	6	0	4	4
OAF	6410	6305	22147	22469	888	983	303	286	171	171
OARD1	3484	4527	3166	3216	12589	13032	6558	6941	6689	6689
OAS1	42	76	324	406	0	2	3	6	10	10
OAS2	15	29	286	253	8	0	10	7	14	14
OAS3	97	165	3112	3081	21	42	275	296	260	260
OASL	0	2	6	6	0	0	3	0	1	1
OAT	10796	11868	25178	27851	7664	7640	11052	11162	27017	27017
OAZ1	74497	81870	81613	85870	65533	65750	60277	69373	83131	83131
OAZ2	11519	15028	16813	16901	45612	45447	28414	32592	25033	25033
OAZ3	117	95	154	166	177	174	70	80	90	90
OBFC1	1933	2607	3130	3209	3002	3039	1230	1418	1223	1223
OBP2A	23	27	0	0	0	0	0	0	0	0
OBP2B	7	9	0	0	0	0	0	0	0	0
OBSCN	4530	5651	4439	4297	8093	8564	4853	4348	5168	5168
OBSL1	65086	75345	9922	10188	21046	21172	26906	25539	25420	25420
OC90	1	0	1	0	7	2	1203	1204	450	450
OCA2	24	19	19	20	323	270	66	100	64	64
OCEL1	3241	3636	4775	4803	1860	1974	3611	3979	1641	1641
OCIAD1	13738	15987	19378	20389	22042	22636	22409	29784	22906	22906
OCIAD1-AS1	30	16	14	14	58	73	43	42	21	21
OCIAD2	5815	6631	2882	3401	6148	6092	10331	11606	13559	13559
OCLM	306	334	99	82	203	223	224	158	126	126
OCLN	1881	1960	160	205	2850	3008	8465	10352	6097	6097
OCM	4	2	3	2	16	5	5	5	1	1
OCM2	0	0	0	0	0	0	0	0	0	0
OCRL	10715	12597	10998	10931	14248	14330	4912	5584	5863	5863
OCSTAMP	10	15	0	0	32	23	57	60	98	98
ODAM	258	244	0	0	28	28	4	3	3	3
ODC1	45652	49051	9788	10238	63684	63823	8564	10454	40767	40767
ODCP	42	52	19	15	92	173	40	70	54	54
ODF1	0	0	0	0	3	16	0	0	0	0
ODF2	11324	13865	8228	8307	12922	13089	4758	4826	7234	7234
ODF2L	5845	6836	8566	8841	6992	7354	7023	6446	5936	5936
ODF3	10	14	4	5	15	32	10	8	4	4
ODF3B	3777	4461	581	572	3710	3652	32	22	3	3
ODF3L1	61	111	345	342	18	29	0	0	1	1
ODF3L2	21	22	12	18	44	33	63	77	22	22
ODF4	0	0	0	0	7	3	0	2	0	0
OFCC1	3	4	13	5	0	5	16	10	3	3
OFD1	8152	9020	2110	2014	5224	5502	4202	3804	5085	5085
OFD1P10Y	0	0	0	0	0	0	0	0	0	0
OFD1P11Y	0	0	0	0	0	0	0	0	0	0
OFD1P12Y	0	0	0	0	0	0	0	0	0	0
OFD1P13Y	0	0	0	0	0	0	0	0	0	0
OFD1P15Y	0	0	0	0	0	0	0	0	0	0
OFD1P17	5841	6676	1730	1578	3817	4287	3323	3228	3878	3878
OFD1P18Y	0	0	0	0	0	0	0	0	0	0
OFD1P1Y	0	0	0	0	0	0	0	0	0	0
OFD1P2Y	0	0	0	0	0	0	0	0	0	0
OFD1P3Y	0	0	0	0	0	0	0	0	0	0
OFD1P4Y	0	0	0	0	0	0	0	0	0	0
OFD1P5Y	0	0	0	0	0	0	0	0	0	0
OFD1P6Y	0	0	0	0	0	0	0	1	0	0
OFD1P7Y	0	0	0	0	0	0	0	0	0	0
OFD1P8Y	0	0	0	0	0	0	0	0	0	0
OFD1P9Y	0	0	0	0	0	0	0	0	0	0
OGDH	23327	26742	16585	16484	16161	16208	14363	14258	19933	19933
OGDHL	2398	2699	14	18	119	116	4250	3937	1974	1974
OGFOD1	9008	10343	16601	16565	12352	12851	10292	12052	21836	21836
OGFOD1P1	536	632	894	894	604	634	558	631	1282	1282
OGFOD2	142	167	188	186	316	305	168	181	99	99
OGFOD3	3160	3876	4914	4815	6627	6870	4322	5642	5252	5252
OGFR	11243	12462	12284	12111	7102	6886	4989	5235	5073	5073
OGFR-AS1	102	82	159	181	275	278	89	139	95	95
OGFRL1	9609	11019	44747	50332	7688	7938	7853	8501	7825	7825
OGG1	2500	2801	4239	4202	4439	4775	4088	4190	4824	4824
OGN	9	3	1	1	13	28	16	0	6	6
OGT	29338	34399	37477	35038	87444	88419	51341	47263	33152	33152
OIP5	549	614	99	79	2097	2184	1881	1916	1982	1982
OIP5-AS1	26877	33278	31674	33380	65578	67174	83084	88846	100016	100016
OIT3	19	12	0	1	28	41	4	4	5	5
OLA1	9436	11369	13074	13997	32756	34026	14059	16049	22655	22655
OLA1P1	8381	10157	11332	11191	27924	27989	11339	12817	18644	18644
OLA1P2	138	177	219	220	522	508	212	182	292	292
OLA1P3	3	9	0	0	16	10	13	10	6	6
OLAH	10	25	40	45	23	17	36	28	11	11
OLFM1	41	41	54	61	1971	2074	11969	15431	4932	4932
OLFM2	3482	3700	1868	1784	5219	5444	19370	23058	12112	12112
OLFM3	209	262	16	24	734	784	286	353	182	182
OLFM4	52	65	0	0	4	8	0	7	4	4
OLFML1	942	1040	610	586	113	91	40	40	576	576
OLFML2A	80342	89698	14662	14847	3759	4061	12384	13261	2450	2450
OLFML2B	128	180	2240	2193	3403	3617	6499	6515	1321	1321
OLFML3	37146	41573	36262	37709	3460	3309	30507	34198	18946	18946
OLIG1	294	326	0	0	12	2	89	96	4	4
OLIG2	14	27	217	172	376	312	345	429	283	283
OLIG3	4	14	0	0	30	13	51	112	30	30
OLR1	4966	4651	14653	15728	2	1	0	0	401	401
OMA1	1566	1823	1245	1338	1578	1628	2780	3183	2191	2191
OMD	2	2	0	0	0	4	1	0	3	3
OMG	193	237	306	301	19	42	31	24	7	7
OMP	4	2	29	8	7	0	2	13	0	0
ONECUT1	49	50	6	0	57	36	1703	1651	262	262
ONECUT2	147	217	19	11	1150	1234	2692	2689	5541	5541
ONECUT3	7	7	2	2	53	36	19	22	2	2
OOEP	0	0	0	0	0	0	19	39	21	21
OOEP-AS1	0	0	0	0	0	0	1	0	0	0
OOSP1	4	3	1	0	0	0	0	0	0	0
OPA1	8405	10151	16094	16874	19788	21014	15302	16561	21045	21045
OPA1-AS1	4	31	11	8	40	35	28	29	25	25
OPA3	7297	8606	17002	17103	8651	8571	5231	6181	7607	7607
OPALIN	17	11	0	0	0	1	34	40	18	18
OPCML	18	28	23	24	224	277	843	1068	1047	1047
